threads,avg_ms,enq_mean_all,enq_mean_ovt,enq_max,enq_count_avg,enq_pct_avg,deq_mean_all,deq_mean_ovt,deq_max,deq_count_avg,deq_pct_avg
1,2.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000
2,5.000,0.045,1.001,4,446.300,4.463,0.001,1.905,2,4.500,0.059
3,8.000,0.121,1.000,3,1816.800,12.112,0.000,1.076,3,1.300,0.013
4,12.200,0.155,1.000,10,3090.900,15.455,0.001,2.350,4,2.000,0.016
5,16.800,0.179,1.001,3,4482.500,17.930,0.000,1.114,5,2.200,0.014
6,21.800,0.177,1.001,4,5292.400,17.642,0.000,0.700,4,0.400,0.002
7,28.100,0.184,1.001,3,6434.000,18.384,0.000,0.200,2,0.100,0.000
8,34.400,0.197,1.003,6,7860.400,19.652,0.000,0.000,0,0.000,0.000
9,41.600,0.213,1.002,3,9556.400,21.238,0.000,0.600,6,0.800,0.003
10,48.900,0.213,1.004,54,10591.200,21.184,0.000,0.700,7,0.400,0.001
11,57.200,0.219,1.005,50,11981.200,21.786,0.000,0.000,0,0.000,0.000
12,64.800,0.222,1.005,3,13234.300,22.059,0.000,0.200,2,0.100,0.000
13,73.900,0.226,1.007,4,14559.900,22.403,0.000,0.000,0,0.000,0.000
14,83.000,0.229,1.010,14,15898.400,22.715,0.000,1.700,9,1.600,0.004
15,90.100,0.235,1.013,133,17356.000,23.144,0.001,2.144,15,2.300,0.006
16,100.700,0.240,1.017,50,18845.300,23.559,0.001,1.776,11,2.700,0.006
17,111.100,0.242,1.058,7499,19390.100,22.814,0.001,5.550,28,3.800,0.008
18,126.800,0.244,1.099,6577,20000.400,22.225,0.029,158.118,2125,7.700,0.015
19,126.400,0.233,1.032,2794,21436.300,22.566,0.052,830.155,5271,5.700,0.010
20,147.800,0.241,1.057,5833,22765.000,22.767,0.004,64.800,1247,3.100,0.005
21,159.100,0.262,1.141,5131,24087.600,22.942,0.035,419.940,4468,1.700,0.003
22,179.000,0.240,1.052,4319,25067.200,22.790,0.016,399.300,2983,1.300,0.002
23,198.800,0.254,1.119,6256,26114.800,22.711,0.016,353.100,3506,1.700,0.003
24,206.700,0.269,1.174,5868,27476.600,22.899,0.000,2.047,9,3.000,0.004
25,233.800,0.251,1.087,4303,28885.800,23.110,0.000,3.040,8,4.500,0.006
26,262.900,0.277,1.180,5265,30535.600,23.491,0.031,174.219,1695,7.900,0.011
27,281.000,0.268,1.134,4960,31882.600,23.618,0.016,195.900,1957,0.700,0.001
28,304.600,0.266,1.123,4722,33204.800,23.720,0.010,268.625,2665,2.600,0.003
29,323.200,0.282,1.182,4620,34585.400,23.855,0.018,213.300,2095,3.600,0.004
30,341.400,0.282,1.162,4418,36382.000,24.257,0.015,82.573,1710,3.900,0.005
31,357.100,0.271,1.124,4353,37427.100,24.149,0.000,4.500,12,2.900,0.003
32,383.000,0.279,1.137,4440,39282.700,24.555,0.000,3.200,12,5.200,0.006
